payment_id,student_id,group_id,amount,due_date,paid_date,method,status,month_for
P00032,S0014,G025,1140000,2026-06-06,2026-06-16,cash,paid,2026-06
P00033,S0014,G025,1220000,2026-07-06,2026-07-09,cash,paid,2026-07
P00034,S0014,G025,1720000,2026-08-06,,card,overdue,2026-08
P00035,S0015,G018,1420000,2026-08-06,,cash,overdue,2026-08
P00036,S0016,G026,1260000,2026-06-06,2026-06-09,cash,paid,2026-06
P00037,S0016,G026,1000000,2026-07-06,,cash,pending,2026-07
P00038,S0016,G026,830000,2026-08-06,,card,pending,2026-08
P00039,S0017,G003,1980000,2026-08-06,2026-08-13,cash,paid,2026-08
P00040,S0018,G004,1600000,2026-05-06,2026-05-14,cash,paid,2026-05
P00041,S0018,G004,1680000,2026-06-06,2026-06-09,cash,paid,2026-06
P00042,S0018,G004,1540000,2026-07-06,2026-07-13,transfer,paid,2026-07
P00043,S0018,G004,1130000,2026-08-06,,transfer,pending,2026-08
P00044,S0019,G001,1430000,2026-03-06,,cash,pending,2026-03
P00045,S0019,G001,960000,2026-04-06,2026-04-08,cash,paid,2026-04
P00046,S0019,G001,1450000,2026-05-06,2026-05-15,transfer,paid,2026-05
P00047,S0019,G001,1160000,2026-06-06,,cash,overdue,2026-06
P00048,S0019,G001,1170000,2026-07-06,2026-07-12,card,paid,2026-07
P00049,S0019,G001,1530000,2026-08-06,2026-08-13,transfer,paid,2026-08
P00050,S0020,G012,1020000,2026-07-06,2026-07-15,card,paid,2026-07
P00051,S0020,G012,1290000,2026-08-06,2026-08-15,card,paid,2026-08
P00052,S0021,G005,1120000,2026-08-06,2026-08-06,transfer,paid,2026-08
P00053,S0022,G011,1200000,2026-06-06,2026-06-06,card,paid,2026-06
P00054,S0022,G011,1110000,2026-07-06,2026-07-07,transfer,paid,2026-07
P00055,S0022,G011,1680000,2026-08-06,2026-08-16,card,paid,2026-08
P00056,S0023,G003,1790000,2026-07-06,2026-07-09,cash,paid,2026-07
P00057,S0023,G003,2010000,2026-08-06,2026-08-16,cash,paid,2026-08
P00058,S0024,G019,1190000,2026-08-06,2026-08-09,cash,paid,2026-08
P00059,S0025,G014,800000,2026-08-06,,cash,pending,2026-08
P00060,S0026,G014,1010000,2026-08-06,2026-08-11,transfer,paid,2026-08
P00061,S0027,G010,1990000,2026-01-06,,card,overdue,2026-01
P00062,S0027,G010,2020000,2026-02-06,2026-02-06,cash,paid,2026-02
P00063,S0027,G010,1940000,2026-03-06,2026-03-13,cash,paid,2026-03
P00064,S0028,G014,1070000,2026-08-06,2026-08-07,cash,paid,2026-08
P00065,S0029,G024,1380000,2026-07-06,,cash,overdue,2026-07
P00066,S0029,G024,1880000,2026-08-06,2026-08-10,card,paid,2026-08
P00067,S0030,G021,1020000,2026-05-06,2026-05-07,card,paid,2026-05
P00068,S0030,G021,960000,2026-06-06,2026-06-16,transfer,paid,2026-06
P00069,S0030,G021,900000,2026-07-06,,cash,pending,2026-07
P00070,S0031,G003,1960000,2026-07-06,,transfer,pending,2026-07
P00071,S0031,G003,1250000,2026-08-06,,cash,overdue,2026-08
P00072,S0032,G023,1560000,2026-04-06,2026-04-08,card,paid,2026-04
P00073,S0032,G023,1680000,2026-05-06,2026-05-08,cash,paid,2026-05
P00074,S0033,G018,1390000,2026-08-06,,card,overdue,2026-08
P00075,S0034,G014,830000,2026-08-06,2026-08-12,transfer,paid,2026-08
P00076,S0035,G018,1240000,2026-08-06,,cash,overdue,2026-08
P00077,S0036,G020,880000,2026-07-06,,card,overdue,2026-07
P00078,S0036,G020,930000,2026-08-06,2026-08-15,cash,paid,2026-08
P00079,S0037,G023,1020000,2026-01-06,,card,pending,2026-01
P00080,S0037,G023,1170000,2026-02-06,2026-02-13,transfer,paid,2026-02
P00081,S0037,G023,1100000,2026-03-06,2026-03-16,card,paid,2026-03
P00082,S0037,G023,1460000,2026-04-06,2026-04-15,cash,paid,2026-04
P00083,S0037,G023,1240000,2026-05-06,,card,overdue,2026-05
P00084,S0038,G028,830000,2026-06-06,2026-06-11,card,paid,2026-06
P00085,S0038,G028,1050000,2026-07-06,2026-07-13,transfer,paid,2026-07
P00086,S0038,G028,970000,2026-08-06,,transfer,pending,2026-08
P00087,S0039,G023,1000000,2026-02-06,,cash,overdue,2026-02
P00088,S0039,G023,1090000,2026-03-06,,transfer,overdue,2026-03
P00089,S0039,G023,1320000,2026-04-06,2026-04-13,transfer,paid,2026-04
P00090,S0039,G023,1600000,2026-05-06,,card,pending,2026-05
P00091,S0040,G004,1610000,2026-04-06,2026-04-06,transfer,paid,2026-04
P00092,S0040,G004,1420000,2026-05-06,2026-05-11,transfer,paid,2026-05
P00093,S0040,G004,1250000,2026-06-06,2026-06-07,transfer,paid,2026-06
P00094,S0040,G004,1150000,2026-07-06,,transfer,pending,2026-07
P00095,S0040,G004,1160000,2026-08-06,2026-08-09,cash,paid,2026-08
P00096,S0041,G001,1130000,2026-06-06,2026-06-06,card,paid,2026-06
P00097,S0041,G001,1210000,2026-07-06,2026-07-12,transfer,paid,2026-07
P00098,S0041,G001,1420000,2026-08-06,2026-08-16,transfer,paid,2026-08
P00099,S0042,G009,1410000,2026-07-06,2026-07-15,card,paid,2026-07
P00100,S0042,G009,1320000,2026-08-06,2026-08-16,cash,paid,2026-08
P00101,S0043,G008,980000,2026-04-06,2026-04-06,cash,paid,2026-04
P00102,S0043,G008,1470000,2026-05-06,2026-05-14,cash,paid,2026-05
P00103,S0043,G008,1560000,2026-06-06,2026-06-15,card,paid,2026-06
P00104,S0043,G008,1110000,2026-07-06,2026-07-08,transfer,paid,2026-07
P00105,S0044,G003,2030000,2026-08-06,2026-08-12,card,paid,2026-08
P00106,S0045,G006,1160000,2026-06-06,,cash,pending,2026-06
P00107,S0045,G006,870000,2026-07-06,2026-07-16,cash,paid,2026-07
P00108,S0045,G006,820000,2026-08-06,,card,pending,2026-08
P00109,S0046,G018,1270000,2026-08-06,2026-08-07,cash,paid,2026-08
P00110,S0047,G002,1410000,2026-01-06,2026-01-14,transfer,paid,2026-01
P00111,S0047,G002,1040000,2026-02-06,2026-02-16,card,paid,2026-02
P00112,S0047,G002,1690000,2026-03-06,2026-03-06,transfer,paid,2026-03
P00113,S0047,G002,1040000,2026-04-06,2026-04-10,card,paid,2026-04
P00114,S0048,G002,1210000,2025-12-06,2025-12-14,card,paid,2025-12
P00115,S0048,G002,1390000,2026-01-06,2026-01-15,transfer,paid,2026-01
P00116,S0048,G002,1490000,2026-02-06,2026-02-15,transfer,paid,2026-02
P00117,S0048,G002,980000,2026-03-06,2026-03-16,cash,paid,2026-03
P00118,S0049,G025,1460000,2026-07-06,2026-07-10,transfer,paid,2026-07
P00119,S0049,G025,1670000,2026-08-06,2026-08-13,card,paid,2026-08
P00120,S0050,G030,1150000,2026-07-06,2026-07-09,card,paid,2026-07
P00121,S0050,G030,1420000,2026-08-06,,cash,pending,2026-08
P00122,S0051,G022,970000,2026-08-06,,card,pending,2026-08
P00123,S0052,G014,800000,2026-08-06,2026-08-06,card,paid,2026-08
P00124,S0053,G029,1560000,2026-08-06,2026-08-13,card,paid,2026-08
P00125,S0054,G004,1720000,2026-04-06,2026-04-13,card,paid,2026-04
P00126,S0054,G004,1340000,2026-05-06,2026-05-12,card,paid,2026-05
P00127,S0055,G008,1400000,2025-11-06,2025-11-15,cash,paid,2025-11
P00128,S0055,G008,1380000,2025-12-06,,card,pending,2025-12
P00129,S0055,G008,1490000,2026-01-06,2026-01-12,cash,paid,2026-01
P00130,S0055,G008,1500000,2026-02-06,2026-02-13,card,paid,2026-02
P00131,S0055,G008,1300000,2026-03-06,2026-03-08,cash,paid,2026-03
P00132,S0055,G008,1350000,2026-04-06,2026-04-07,card,paid,2026-04
P00133,S0056,G013,980000,2026-07-06,2026-07-08,transfer,paid,2026-07
P00134,S0056,G013,1020000,2026-08-06,2026-08-12,cash,paid,2026-08
P00135,S0057,G014,940000,2026-08-06,2026-08-07,transfer,paid,2026-08
P00136,S0058,G019,1330000,2026-08-06,2026-08-06,cash,paid,2026-08
P00137,S0059,G019,880000,2026-08-06,2026-08-14,transfer,paid,2026-08
P00138,S0060,G015,1500000,2026-08-06,,transfer,pending,2026-08
P00139,S0061,G025,1440000,2026-06-06,2026-06-09,transfer,paid,2026-06
P00140,S0061,G025,1890000,2026-07-06,2026-07-07,card,paid,2026-07
P00141,S0061,G025,1550000,2026-08-06,,card,pending,2026-08
P00142,S0062,G008,1230000,2026-01-06,2026-01-13,transfer,paid,2026-01
P00143,S0062,G008,1120000,2026-02-06,2026-02-06,cash,paid,2026-02
P00144,S0062,G008,1240000,2026-03-06,,cash,pending,2026-03
P00145,S0062,G008,1440000,2026-04-06,,transfer,pending,2026-04
P00146,S0063,G025,1340000,2026-07-06,2026-07-06,cash,paid,2026-07
P00147,S0063,G025,1220000,2026-08-06,,cash,pending,2026-08
P00148,S0064,G011,1540000,2026-06-06,2026-06-13,cash,paid,2026-06
P00149,S0064,G011,1220000,2026-07-06,2026-07-12,transfer,paid,2026-07
P00150,S0064,G011,1220000,2026-08-06,2026-08-06,card,paid,2026-08
P00151,S0065,G022,1500000,2026-08-06,2026-08-12,cash,paid,2026-08
P00152,S0066,G015,1160000,2026-08-06,2026-08-14,transfer,paid,2026-08
P00153,S0067,G030,1040000,2026-08-06,2026-08-07,card,paid,2026-08
P00154,S0068,G012,870000,2026-07-06,2026-07-07,cash,paid,2026-07
P00155,S0068,G012,1310000,2026-08-06,2026-08-06,transfer,paid,2026-08
P00156,S0069,G005,1150000,2026-06-06,2026-06-16,cash,paid,2026-06
P00157,S0069,G005,870000,2026-07-06,,transfer,pending,2026-07
P00158,S0069,G005,1000000,2026-08-06,2026-08-06,cash,paid,2026-08
P00159,S0070,G018,1120000,2026-08-06,2026-08-06,card,paid,2026-08
P00160,S0071,G019,800000,2026-07-06,2026-07-11,card,paid,2026-07
P00161,S0071,G019,850000,2026-08-06,,cash,pending,2026-08
P00162,S0072,G016,1450000,2026-02-06,2026-02-14,cash,paid,2026-02
P00163,S0072,G016,1140000,2026-03-06,2026-03-07,cash,paid,2026-03
P00164,S0072,G016,1170000,2026-04-06,,cash,pending,2026-04
P00165,S0072,G016,1450000,2026-05-06,2026-05-16,card,paid,2026-05
P00166,S0072,G016,1210000,2026-06-06,,cash,pending,2026-06
P00167,S0072,G016,990000,2026-07-06,2026-07-12,transfer,paid,2026-07
P00168,S0072,G016,1420000,2026-08-06,2026-08-09,cash,paid,2026-08
P00169,S0073,G015,940000,2026-08-06,2026-08-12,card,paid,2026-08
P00170,S0074,G010,1600000,2026-02-06,2026-02-07,card,paid,2026-02
P00171,S0074,G010,1830000,2026-03-06,,transfer,overdue,2026-03
P00172,S0075,G019,850000,2026-07-06,2026-07-10,cash,paid,2026-07
P00173,S0075,G019,1160000,2026-08-06,,card,overdue,2026-08
P00174,S0076,G014,820000,2026-08-06,2026-08-09,cash,paid,2026-08
P00175,S0077,G021,860000,2026-04-06,2026-04-14,cash,paid,2026-04
P00176,S0077,G021,880000,2026-05-06,,card,overdue,2026-05
P00177,S0077,G021,1000000,2026-06-06,2026-06-15,transfer,paid,2026-06
P00178,S0077,G021,1090000,2026-07-06,2026-07-13,transfer,paid,2026-07
P00179,S0078,G027,1080000,2026-08-06,2026-08-11,transfer,paid,2026-08
P00180,S0079,G003,1200000,2026-07-06,2026-07-07,transfer,paid,2026-07
P00181,S0079,G003,1430000,2026-08-06,2026-08-15,transfer,paid,2026-08
P00182,S0080,G030,1620000,2026-04-06,2026-04-15,cash,paid,2026-04
P00183,S0080,G030,1140000,2026-05-06,2026-05-11,cash,paid,2026-05
P00184,S0080,G030,1180000,2026-06-06,2026-06-16,transfer,paid,2026-06
P00185,S0080,G030,1500000,2026-07-06,2026-07-12,card,paid,2026-07
P00186,S0080,G030,1490000,2026-08-06,2026-08-13,cash,paid,2026-08
P00187,S0081,G002,980000,2025-12-06,2025-12-14,card,paid,2025-12
P00188,S0081,G002,970000,2026-01-06,,cash,overdue,2026-01
P00189,S0081,G002,1360000,2026-02-06,2026-02-13,transfer,paid,2026-02
P00190,S0081,G002,1680000,2026-03-06,2026-03-15,transfer,paid,2026-03
P00191,S0082,G013,1130000,2026-05-06,2026-05-14,cash,paid,2026-05
P00192,S0082,G013,1090000,2026-06-06,,cash,pending,2026-06
P00193,S0082,G013,810000,2026-07-06,,cash,pending,2026-07
P00194,S0082,G013,1070000,2026-08-06,,cash,pending,2026-08
P00195,S0083,G025,1740000,2026-06-06,,transfer,overdue,2026-06
P00196,S0083,G025,1160000,2026-07-06,2026-07-12,cash,paid,2026-07
P00197,S0083,G025,1810000,2026-08-06,2026-08-12,transfer,paid,2026-08
P00198,S0084,G022,1510000,2026-08-06,2026-08-14,card,paid,2026-08
P00199,S0085,G002,1190000,2026-02-06,2026-02-15,cash,paid,2026-02
P00200,S0085,G002,1540000,2026-03-06,2026-03-10,card,paid,2026-03
P00201,S0086,G020,850000,2026-06-06,,card,overdue,2026-06
P00202,S0086,G020,910000,2026-07-06,2026-07-16,cash,paid,2026-07
P00203,S0086,G020,930000,2026-08-06,2026-08-15,cash,paid,2026-08
P00204,S0087,G025,1720000,2026-07-06,2026-07-13,transfer,paid,2026-07
P00205,S0087,G025,1310000,2026-08-06,2026-08-11,card,paid,2026-08
P00206,S0088,G008,1100000,2026-02-06,2026-02-13,transfer,paid,2026-02
P00207,S0088,G008,980000,2026-03-06,2026-03-13,card,paid,2026-03
P00208,S0088,G008,1100000,2026-04-06,2026-04-15,card,paid,2026-04
P00209,S0088,G008,1260000,2026-05-06,2026-05-06,transfer,paid,2026-05
P00210,S0089,G024,1430000,2026-03-06,2026-03-06,cash,paid,2026-03
P00211,S0089,G024,2070000,2026-04-06,2026-04-15,cash,paid,2026-04
P00212,S0089,G024,1550000,2026-05-06,2026-05-10,cash,paid,2026-05
P00213,S0090,G030,960000,2026-04-06,2026-04-14,transfer,paid,2026-04
P00214,S0090,G030,960000,2026-05-06,,card,pending,2026-05
P00215,S0090,G030,1630000,2026-06-06,2026-06-16,cash,paid,2026-06
P00216,S0090,G030,1550000,2026-07-06,,card,pending,2026-07
P00217,S0090,G030,1080000,2026-08-06,2026-08-14,card,paid,2026-08
P00218,S0091,G004,1450000,2026-05-06,2026-05-09,card,paid,2026-05
P00219,S0092,G019,970000,2026-07-06,2026-07-14,transfer,paid,2026-07
P00220,S0092,G019,1330000,2026-08-06,,transfer,pending,2026-08
P00221,S0093,G008,1540000,2026-03-06,,card,pending,2026-03
P00222,S0093,G008,1210000,2026-04-06,2026-04-15,cash,paid,2026-04
P00223,S0093,G008,930000,2026-05-06,2026-05-09,transfer,paid,2026-05
P00224,S0093,G008,1150000,2026-06-06,2026-06-07,transfer,paid,2026-06
P00225,S0094,G023,1630000,2026-04-06,,transfer,pending,2026-04
P00226,S0094,G023,1540000,2026-05-06,2026-05-16,card,paid,2026-05
P00227,S0095,G005,1010000,2026-06-06,2026-06-10,card,paid,2026-06
P00228,S0095,G005,1070000,2026-07-06,,cash,overdue,2026-07
P00229,S0095,G005,1260000,2026-08-06,2026-08-16,card,paid,2026-08
P00230,S0096,G013,900000,2026-08-06,,card,overdue,2026-08
P00231,S0097,G024,1470000,2026-06-06,2026-06-12,cash,paid,2026-06
P00232,S0097,G024,2030000,2026-07-06,,cash,overdue,2026-07
P00233,S0097,G024,1820000,2026-08-06,2026-08-08,card,paid,2026-08
P00234,S0098,G015,1210000,2026-08-06,2026-08-14,cash,paid,2026-08
P00235,S0099,G003,1420000,2026-07-06,2026-07-10,card,paid,2026-07
P00236,S0099,G003,1260000,2026-08-06,2026-08-10,card,paid,2026-08
P00237,S0100,G009,1060000,2026-07-06,2026-07-12,transfer,paid,2026-07
P00238,S0100,G009,1080000,2026-08-06,,transfer,pending,2026-08
P00239,S0101,G006,1130000,2026-08-06,2026-08-08,card,paid,2026-08
P00240,S0102,G026,1370000,2026-05-06,2026-05-08,transfer,paid,2026-05
P00241,S0102,G026,1290000,2026-06-06,2026-06-12,card,paid,2026-06
P00242,S0102,G026,1310000,2026-07-06,2026-07-16,card,paid,2026-07
P00243,S0102,G026,1340000,2026-08-06,,transfer,pending,2026-08
P00244,S0103,G023,990000,2026-02-06,,cash,pending,2026-02
P00245,S0103,G023,1020000,2026-03-06,,transfer,pending,2026-03
P00246,S0103,G023,1320000,2026-04-06,,card,overdue,2026-04
P00247,S0103,G023,1500000,2026-05-06,2026-05-14,card,paid,2026-05
P00248,S0104,G021,970000,2026-02-06,2026-02-09,card,paid,2026-02
P00249,S0104,G021,850000,2026-03-06,,card,pending,2026-03
P00250,S0104,G021,960000,2026-04-06,2026-04-15,transfer,paid,2026-04
P00251,S0104,G021,970000,2026-05-06,2026-05-14,card,paid,2026-05
P00252,S0104,G021,940000,2026-06-06,,card,overdue,2026-06
P00253,S0104,G021,1100000,2026-07-06,,transfer,pending,2026-07
P00254,S0105,G022,1560000,2026-08-06,2026-08-08,transfer,paid,2026-08
P00255,S0106,G001,1600000,2026-03-06,,cash,pending,2026-03
P00256,S0106,G001,950000,2026-04-06,2026-04-09,card,paid,2026-04
P00257,S0106,G001,1160000,2026-05-06,2026-05-10,cash,paid,2026-05
P00258,S0106,G001,1230000,2026-06-06,2026-06-11,cash,paid,2026-06
P00259,S0106,G001,1490000,2026-07-06,2026-07-06,card,paid,2026-07
P00260,S0106,G001,930000,2026-08-06,2026-08-14,card,paid,2026-08
P00261,S0107,G017,1710000,2026-06-06,2026-06-11,card,paid,2026-06
P00262,S0107,G017,1380000,2026-07-06,,cash,pending,2026-07
P00263,S0107,G017,1400000,2026-08-06,,cash,overdue,2026-08
P00264,S0108,G005,1210000,2026-08-06,,transfer,pending,2026-08
P00265,S0109,G018,1370000,2026-08-06,2026-08-12,card,paid,2026-08
P00266,S0110,G009,1430000,2026-08-06,2026-08-16,card,paid,2026-08
P00267,S0111,G002,1450000,2026-03-06,,card,overdue,2026-03
P00268,S0112,G022,1020000,2026-08-06,2026-08-11,cash,paid,2026-08
P00269,S0113,G004,1780000,2026-05-06,2026-05-11,card,paid,2026-05
P00270,S0114,G001,1120000,2026-05-06,,transfer,pending,2026-05
P00271,S0114,G001,1270000,2026-06-06,2026-06-12,cash,paid,2026-06
P00272,S0114,G001,1360000,2026-07-06,2026-07-13,cash,paid,2026-07
P00273,S0114,G001,950000,2026-08-06,,transfer,pending,2026-08
P00274,S0115,G026,1060000,2026-05-06,2026-05-11,cash,paid,2026-05
P00275,S0115,G026,850000,2026-06-06,,card,pending,2026-06
P00276,S0115,G026,830000,2026-07-06,,card,pending,2026-07
P00277,S0115,G026,1080000,2026-08-06,2026-08-12,cash,paid,2026-08
P00278,S0116,G009,1570000,2026-07-06,,cash,pending,2026-07
P00279,S0116,G009,1460000,2026-08-06,2026-08-10,transfer,paid,2026-08
P00280,S0117,G026,1110000,2026-07-06,,cash,overdue,2026-07
P00281,S0117,G026,1100000,2026-08-06,,transfer,pending,2026-08
P00282,S0118,G022,1430000,2026-08-06,2026-08-11,transfer,paid,2026-08
P00283,S0119,G013,1190000,2026-08-06,2026-08-09,cash,paid,2026-08
P00284,S0120,G003,1260000,2026-08-06,2026-08-09,transfer,paid,2026-08
P00285,S0121,G005,1010000,2026-08-06,2026-08-16,transfer,paid,2026-08
P00286,S0122,G022,1320000,2026-08-06,2026-08-15,cash,paid,2026-08
P00287,S0123,G022,1310000,2026-08-06,2026-08-14,cash,paid,2026-08
P00288,S0124,G027,1100000,2026-08-06,2026-08-14,card,paid,2026-08
P00289,S0125,G023,1650000,2026-02-06,2026-02-09,card,paid,2026-02
P00290,S0125,G023,990000,2026-03-06,2026-03-15,card,paid,2026-03
P00291,S0125,G023,1180000,2026-04-06,2026-04-12,card,paid,2026-04
P00292,S0125,G023,1560000,2026-05-06,2026-05-14,cash,paid,2026-05
P00293,S0126,G012,960000,2026-07-06,2026-07-14,transfer,paid,2026-07
P00294,S0126,G012,880000,2026-08-06,,cash,pending,2026-08
P00295,S0127,G028,1040000,2026-07-06,2026-07-15,card,paid,2026-07
P00296,S0127,G028,1000000,2026-08-06,2026-08-15,card,paid,2026-08
P00297,S0128,G005,1270000,2026-06-06,,cash,overdue,2026-06
P00298,S0128,G005,990000,2026-07-06,2026-07-06,card,paid,2026-07
P00299,S0128,G005,910000,2026-08-06,2026-08-13,cash,paid,2026-08
P00300,S0129,G023,1510000,2026-02-06,2026-02-13,cash,paid,2026-02
P00301,S0129,G023,960000,2026-03-06,2026-03-09,card,paid,2026-03
P00302,S0129,G023,1360000,2026-04-06,,card,overdue,2026-04
P00303,S0129,G023,1340000,2026-05-06,,cash,pending,2026-05
P00304,S0130,G014,790000,2026-08-06,,card,pending,2026-08
P00305,S0131,G019,1370000,2026-08-06,,card,overdue,2026-08
P00306,S0132,G026,930000,2026-08-06,2026-08-15,card,paid,2026-08
P00307,S0133,G004,1460000,2026-05-06,2026-05-09,transfer,paid,2026-05
P00308,S0134,G016,1500000,2026-05-06,2026-05-06,cash,paid,2026-05
P00309,S0134,G016,1080000,2026-06-06,2026-06-12,cash,paid,2026-06
P00310,S0134,G016,1630000,2026-07-06,2026-07-11,transfer,paid,2026-07
P00311,S0134,G016,1070000,2026-08-06,2026-08-08,cash,paid,2026-08
P00312,S0135,G022,1190000,2026-08-06,2026-08-12,cash,paid,2026-08
P00313,S0136,G023,1670000,2026-01-06,2026-01-12,cash,paid,2026-01
P00314,S0136,G023,1090000,2026-02-06,,card,pending,2026-02
P00315,S0136,G023,1610000,2026-03-06,2026-03-09,cash,paid,2026-03
P00316,S0136,G023,1210000,2026-04-06,2026-04-15,card,paid,2026-04
P00317,S0136,G023,1560000,2026-05-06,2026-05-09,card,paid,2026-05
P00318,S0137,G008,930000,2026-04-06,2026-04-09,card,paid,2026-04
P00319,S0137,G008,1090000,2026-05-06,,transfer,pending,2026-05
P00320,S0138,G022,1010000,2026-08-06,2026-08-09,cash,paid,2026-08
P00321,S0139,G016,1010000,2026-06-06,2026-06-16,cash,paid,2026-06
P00322,S0139,G016,1300000,2026-07-06,,card,pending,2026-07
P00323,S0139,G016,1610000,2026-08-06,,card,overdue,2026-08
P00324,S0140,G023,1290000,2026-01-06,2026-01-16,card,paid,2026-01
P00325,S0140,G023,1690000,2026-02-06,2026-02-06,card,paid,2026-02
P00326,S0140,G023,1240000,2026-03-06,,card,pending,2026-03
P00327,S0140,G023,1180000,2026-04-06,,card,overdue,2026-04
P00328,S0140,G023,1140000,2026-05-06,,cash,pending,2026-05
P00329,S0141,G004,1510000,2026-02-06,,card,overdue,2026-02
P00330,S0141,G004,1890000,2026-03-06,2026-03-07,cash,paid,2026-03
P00331,S0141,G004,1610000,2026-04-06,2026-04-10,cash,paid,2026-04
P00332,S0141,G004,1160000,2026-05-06,2026-05-06,card,paid,2026-05
P00333,S0141,G004,1580000,2026-06-06,2026-06-09,card,paid,2026-06
P00334,S0142,G017,1580000,2026-08-06,,transfer,pending,2026-08
P00335,S0143,G009,1690000,2026-08-06,,card,pending,2026-08
P00336,S0144,G030,1520000,2026-04-06,,transfer,pending,2026-04
P00337,S0144,G030,1000000,2026-05-06,2026-05-13,card,paid,2026-05
P00338,S0144,G030,1150000,2026-06-06,2026-06-09,cash,paid,2026-06
P00339,S0144,G030,1680000,2026-07-06,2026-07-12,card,paid,2026-07
P00340,S0144,G030,980000,2026-08-06,2026-08-13,cash,paid,2026-08
P00341,S0145,G010,1730000,2026-02-06,,card,overdue,2026-02
P00342,S0145,G010,1370000,2026-03-06,2026-03-07,card,paid,2026-03
P00343,S0146,G024,1690000,2026-06-06,2026-06-08,transfer,paid,2026-06
P00344,S0146,G024,1270000,2026-07-06,2026-07-14,card,paid,2026-07
P00345,S0146,G024,1430000,2026-08-06,2026-08-16,card,paid,2026-08
P00346,S0147,G030,1690000,2026-05-06,2026-05-08,card,paid,2026-05
P00347,S0147,G030,1680000,2026-06-06,2026-06-12,cash,paid,2026-06
P00348,S0147,G030,980000,2026-07-06,,transfer,overdue,2026-07
P00349,S0147,G030,1640000,2026-08-06,,card,pending,2026-08
P00350,S0148,G019,1320000,2026-08-06,2026-08-12,transfer,paid,2026-08
P00351,S0149,G020,1170000,2026-08-06,2026-08-14,card,paid,2026-08
P00352,S0150,G020,880000,2026-08-06,,transfer,pending,2026-08
P00353,S0151,G030,1150000,2026-05-06,2026-05-11,transfer,paid,2026-05
P00354,S0151,G030,990000,2026-06-06,2026-06-16,transfer,paid,2026-06
P00355,S0151,G030,1450000,2026-07-06,2026-07-14,card,paid,2026-07
P00356,S0151,G030,1410000,2026-08-06,2026-08-11,cash,paid,2026-08
P00357,S0152,G022,1100000,2026-08-06,2026-08-15,transfer,paid,2026-08
P00358,S0153,G027,870000,2026-08-06,2026-08-13,cash,paid,2026-08
P00359,S0154,G013,1040000,2026-06-06,2026-06-12,transfer,paid,2026-06
P00360,S0154,G013,940000,2026-07-06,2026-07-12,transfer,paid,2026-07
P00361,S0154,G013,940000,2026-08-06,2026-08-07,transfer,paid,2026-08
P00362,S0155,G001,1440000,2026-06-06,2026-06-08,card,paid,2026-06
P00363,S0155,G001,1170000,2026-07-06,2026-07-12,card,paid,2026-07
P00364,S0155,G001,1040000,2026-08-06,,card,pending,2026-08
P00365,S0156,G020,1170000,2026-08-06,,card,pending,2026-08
