expense_id,date,category,amount,note
X0046,2026-02-01,rent,16191239,Chilonzor filial ijarasi
X0047,2026-02-01,rent,18611960,Yunusobod filial ijarasi
X0048,2026-02-01,rent,16615622,Sergeli filial ijarasi
X0049,2026-02-01,utilities,3526307,kommunal to'lovlar
X0050,2026-02-01,salary,153562860,oylik ish haqi fondi
X0051,2026-02-16,marketing,1992439,reklama kampaniyasi
X0052,2026-02-01,marketing,2401541,reklama kampaniyasi
X0053,2026-02-23,marketing,6331332,reklama kampaniyasi
X0054,2026-02-14,equipment,7105495,texnika/mebel xaridi
X0055,2026-03-01,rent,26203221,Chilonzor filial ijarasi
X0056,2026-03-01,rent,22439298,Yunusobod filial ijarasi
X0057,2026-03-01,rent,27522281,Sergeli filial ijarasi
X0058,2026-03-01,utilities,4190696,kommunal to'lovlar
X0059,2026-03-01,salary,139685276,oylik ish haqi fondi
X0060,2026-03-13,marketing,2787181,reklama kampaniyasi
X0061,2026-03-21,marketing,8700298,reklama kampaniyasi
X0062,2026-03-29,marketing,2258799,reklama kampaniyasi
X0063,2026-04-01,rent,25285153,Chilonzor filial ijarasi
X0064,2026-04-01,rent,22411682,Yunusobod filial ijarasi
X0065,2026-04-01,rent,16232947,Sergeli filial ijarasi
X0066,2026-04-01,utilities,3518005,kommunal to'lovlar
X0067,2026-04-01,salary,170692546,oylik ish haqi fondi
X0068,2026-04-18,marketing,7542507,reklama kampaniyasi
X0069,2026-04-09,marketing,8195548,reklama kampaniyasi
X0070,2026-04-08,marketing,4859562,reklama kampaniyasi
X0071,2026-04-09,equipment,6339792,texnika/mebel xaridi
X0072,2026-04-09,other,2111371,boshqa xarajatlar
X0073,2026-05-01,rent,23745606,Chilonzor filial ijarasi
X0074,2026-05-01,rent,24446571,Yunusobod filial ijarasi
X0075,2026-05-01,rent,21659835,Sergeli filial ijarasi
X0076,2026-05-01,utilities,5586761,kommunal to'lovlar
X0077,2026-05-01,salary,128937670,oylik ish haqi fondi
X0078,2026-05-22,marketing,3357138,reklama kampaniyasi
X0079,2026-05-06,marketing,3742838,reklama kampaniyasi
X0080,2026-05-16,marketing,1858424,reklama kampaniyasi
X0081,2026-06-01,rent,26961375,Chilonzor filial ijarasi
X0082,2026-06-01,rent,25021198,Yunusobod filial ijarasi
X0083,2026-06-01,rent,22603950,Sergeli filial ijarasi
X0084,2026-06-01,utilities,6084527,kommunal to'lovlar
X0085,2026-06-01,salary,124493477,oylik ish haqi fondi
X0086,2026-06-13,marketing,5079171,reklama kampaniyasi
X0087,2026-06-10,marketing,4505116,reklama kampaniyasi
X0088,2026-06-15,marketing,4282995,reklama kampaniyasi
X0089,2026-06-29,marketing,5339600,reklama kampaniyasi
X0090,2026-07-01,rent,25224718,Chilonzor filial ijarasi
X0091,2026-07-01,rent,15143556,Yunusobod filial ijarasi
X0092,2026-07-01,rent,24497795,Sergeli filial ijarasi
X0093,2026-07-01,utilities,3035316,kommunal to'lovlar
X0094,2026-07-01,salary,151946118,oylik ish haqi fondi
X0095,2026-07-27,marketing,6335333,reklama kampaniyasi
X0096,2026-07-20,marketing,6412471,reklama kampaniyasi
X0097,2026-07-23,equipment,14126645,texnika/mebel xaridi
X0098,2026-08-01,rent,21992927,Chilonzor filial ijarasi
X0099,2026-08-01,rent,26034841,Yunusobod filial ijarasi
X0100,2026-08-01,rent,15720242,Sergeli filial ijarasi
X0101,2026-08-01,utilities,4760822,kommunal to'lovlar
X0102,2026-08-01,salary,165229337,oylik ish haqi fondi
X0103,2026-08-29,marketing,1562871,reklama kampaniyasi
X0104,2026-08-23,marketing,8108891,reklama kampaniyasi
X0105,2026-08-03,marketing,6307901,reklama kampaniyasi
X0106,2026-08-02,equipment,12812906,texnika/mebel xaridi
X0107,2026-08-08,other,2339738,boshqa xarajatlar
