date,channel,sessions,unique_visitors,leads_generated,cost
2025-09-11,facebook,40,29,0,66600.0
2025-09-11,referral,14,9,0,0.0
2025-09-11,organic,33,21,1,0.0
2025-09-12,instagram,113,71,1,219800.0
2025-09-12,telegram,69,46,1,123900.0
2025-09-12,google,68,40,0,72500.0
2025-09-12,facebook,50,33,1,63200.0
2025-09-12,referral,31,20,0,0.0
2025-09-12,organic,35,22,0,0.0
2025-09-13,instagram,133,82,0,127300.0
2025-09-13,telegram,54,39,0,61900.0
2025-09-13,google,69,52,0,103500.0
2025-09-13,facebook,39,27,0,35100.0
2025-09-13,referral,27,19,1,0.0
2025-09-13,organic,46,28,0,0.0
2025-09-14,instagram,128,88,2,128400.0
2025-09-14,telegram,82,51,1,168200.0
2025-09-14,google,48,29,1,55600.0
2025-09-14,facebook,38,28,1,37400.0
2025-09-14,referral,21,15,1,0.0
2025-09-14,organic,59,33,0,0.0
2025-09-15,instagram,136,93,0,156200.0
2025-09-15,telegram,84,57,4,115900.0
2025-09-15,google,45,25,1,62100.0
2025-09-15,facebook,28,16,0,59100.0
2025-09-15,referral,21,12,0,0.0
2025-09-15,organic,28,17,1,0.0
2025-09-16,instagram,93,72,1,147700.0
2025-09-16,telegram,121,80,1,167600.0
2025-09-16,google,73,41,0,97400.0
2025-09-16,facebook,58,42,0,78400.0
2025-09-16,referral,25,13,2,0.0
2025-09-16,organic,35,25,1,0.0
2025-09-17,instagram,71,50,1,72100.0
2025-09-17,telegram,67,53,0,91800.0
2025-09-17,google,84,57,1,91400.0
2025-09-17,facebook,31,23,0,59600.0
2025-09-17,referral,16,11,1,0.0
2025-09-17,organic,56,43,0,0.0
2025-09-18,instagram,129,79,1,282500.0
2025-09-18,telegram,56,37,3,83900.0
2025-09-18,google,75,53,0,63300.0
2025-09-18,facebook,35,22,0,71800.0
2025-09-18,referral,31,24,0,0.0
2025-09-18,organic,39,24,1,0.0
2025-09-19,instagram,110,68,1,188900.0
2025-09-19,telegram,122,94,0,161500.0
2025-09-19,google,59,43,0,95900.0
2025-09-19,facebook,40,28,0,63500.0
2025-09-19,referral,4,2,1,0.0
2025-09-19,organic,43,25,0,0.0
2025-09-20,instagram,97,60,0,150500.0
2025-09-20,telegram,98,61,0,192700.0
2025-09-20,google,52,31,0,97800.0
2025-09-20,facebook,22,17,0,36300.0
2025-09-20,referral,22,12,1,0.0
2025-09-20,organic,47,32,0,0.0
2025-09-21,instagram,55,41,0,57900.0
2025-09-21,telegram,76,42,1,89000.0
2025-09-21,google,82,48,0,90900.0
2025-09-21,facebook,22,17,1,42600.0
2025-09-21,referral,31,19,3,0.0
2025-09-21,organic,61,36,0,0.0
2025-09-22,instagram,94,55,1,173500.0
2025-09-22,telegram,83,56,2,74600.0
2025-09-22,google,73,44,0,153000.0
2025-09-22,facebook,39,27,0,47500.0
2025-09-22,referral,31,22,1,0.0
2025-09-22,organic,28,20,1,0.0
2025-09-23,instagram,86,68,1,127600.0
2025-09-23,telegram,73,44,2,78500.0
2025-09-23,google,69,44,0,119800.0
2025-09-23,facebook,38,27,0,82100.0
2025-09-23,referral,20,11,0,0.0
2025-09-23,organic,54,37,1,0.0
2025-09-24,instagram,77,58,3,78700.0
2025-09-24,telegram,59,46,1,84000.0
2025-09-24,google,77,43,0,99200.0
2025-09-24,facebook,45,31,0,73200.0
2025-09-24,referral,26,18,1,0.0
2025-09-24,organic,49,37,0,0.0
2025-09-25,instagram,94,57,0,175200.0
2025-09-25,telegram,91,51,1,142200.0
2025-09-25,google,51,31,1,65200.0
2025-09-25,facebook,45,28,1,37900.0
2025-09-25,referral,26,18,0,0.0
2025-09-25,organic,49,38,0,0.0
2025-09-26,instagram,128,101,0,194200.0
2025-09-26,telegram,103,61,1,219200.0
2025-09-26,google,57,41,1,86300.0
2025-09-26,facebook,40,29,0,32500.0
2025-09-26,referral,22,15,0,0.0
2025-09-26,organic,49,32,0,0.0
2025-09-27,instagram,76,46,3,76200.0
2025-09-27,telegram,98,62,1,129700.0
2025-09-27,google,40,26,0,59500.0
2025-09-27,facebook,40,23,0,51600.0
2025-09-27,referral,25,13,1,0.0
2025-09-27,organic,88,67,1,0.0
2025-09-28,instagram,99,64,2,108300.0
2025-09-28,telegram,86,66,1,137700.0
2025-09-28,google,80,61,0,129900.0
2025-09-28,facebook,44,32,0,81300.0
2025-09-28,referral,27,19,0,0.0
2025-09-28,organic,68,43,1,0.0
2025-09-29,instagram,62,39,1,84800.0
2025-09-29,telegram,56,42,0,93000.0
2025-09-29,google,55,34,0,89200.0
2025-09-29,facebook,57,37,0,100700.0
2025-09-29,referral,23,17,0,0.0
2025-09-29,organic,43,30,1,0.0
2025-09-30,instagram,178,130,2,288000.0
2025-09-30,telegram,52,40,1,89700.0
2025-09-30,google,49,35,0,57100.0
2025-09-30,facebook,42,27,0,80900.0
2025-09-30,referral,22,16,1,0.0
2025-09-30,organic,55,43,0,0.0
2025-10-01,instagram,95,64,0,90100.0
2025-10-01,telegram,74,51,0,65900.0
2025-10-01,google,43,25,0,70300.0
2025-10-01,facebook,35,26,1,39400.0
2025-10-01,referral,19,13,1,0.0
2025-10-01,organic,63,37,1,0.0
2025-10-02,instagram,204,158,0,374600.0
2025-10-02,telegram,107,65,2,169100.0
2025-10-02,google,46,36,1,43600.0
2025-10-02,facebook,38,30,0,36300.0
2025-10-02,referral,15,9,0,0.0
2025-10-02,organic,87,57,1,0.0
2025-10-03,instagram,140,82,0,258500.0
2025-10-03,telegram,90,55,0,141600.0
2025-10-03,google,41,26,1,48300.0
2025-10-03,facebook,50,30,0,49100.0
2025-10-03,referral,24,18,0,0.0
2025-10-03,organic,44,34,1,0.0
2025-10-04,instagram,77,51,1,79700.0
2025-10-04,telegram,88,62,1,112000.0
2025-10-04,google,51,33,0,96300.0
2025-10-04,facebook,42,24,0,50000.0
2025-10-04,referral,28,22,1,0.0
2025-10-04,organic,51,32,1,0.0
2025-10-05,instagram,104,60,0,198800.0
2025-10-05,telegram,109,68,1,205300.0
2025-10-05,google,74,43,0,88800.0
2025-10-05,facebook,52,32,0,95900.0
2025-10-05,referral,26,19,2,0.0
2025-10-05,organic,48,30,0,0.0
2025-10-06,instagram,139,104,1,125800.0
2025-10-06,telegram,65,46,1,121500.0
2025-10-06,google,41,28,0,40700.0
2025-10-06,facebook,41,30,0,75700.0
2025-10-06,referral,18,12,0,0.0
2025-10-06,organic,22,14,0,0.0
2025-10-07,instagram,81,56,1,83500.0
2025-10-07,telegram,84,57,0,120900.0
2025-10-07,google,62,49,0,119500.0
2025-10-07,facebook,45,26,0,98600.0
2025-10-07,referral,20,11,0,0.0
2025-10-07,organic,38,23,1,0.0
2025-10-08,instagram,128,73,2,200600.0
2025-10-08,telegram,92,55,0,186400.0
2025-10-08,google,63,39,0,116200.0
2025-10-08,facebook,48,31,1,50600.0
2025-10-08,referral,33,21,0,0.0
2025-10-08,organic,47,27,0,0.0
2025-10-09,instagram,99,77,2,149600.0
2025-10-09,telegram,108,81,1,170700.0
2025-10-09,google,72,57,0,75000.0
2025-10-09,facebook,39,28,0,69600.0
2025-10-09,referral,27,16,1,0.0
2025-10-09,organic,42,28,0,0.0
2025-10-10,instagram,132,100,3,195600.0
2025-10-10,telegram,70,49,2,65000.0
2025-10-10,google,70,46,0,143900.0
2025-10-10,facebook,39,22,0,77300.0
2025-10-10,referral,17,9,1,0.0
2025-10-10,organic,52,40,0,0.0
2025-10-11,instagram,76,52,1,123600.0
2025-10-11,telegram,71,47,0,146500.0
2025-10-11,google,52,31,1,72200.0
2025-10-11,facebook,45,30,0,82100.0
2025-10-11,referral,35,24,2,0.0
2025-10-11,organic,34,23,0,0.0
2025-10-12,instagram,125,89,0,229400.0
2025-10-12,telegram,71,50,1,98200.0
2025-10-12,google,64,42,1,87700.0
2025-10-12,facebook,38,27,0,61500.0
2025-10-12,referral,24,14,1,0.0
2025-10-12,organic,21,14,0,0.0
2025-10-13,instagram,66,50,0,60000.0
2025-10-13,telegram,120,77,0,147500.0
2025-10-13,google,82,62,0,86700.0
2025-10-13,facebook,30,23,0,31100.0
2025-10-13,referral,19,11,0,0.0
2025-10-13,organic,43,24,1,0.0
2025-10-14,instagram,105,62,0,147400.0
2025-10-14,telegram,66,40,0,111500.0
2025-10-14,google,44,30,0,53000.0
2025-10-14,facebook,56,41,0,113800.0
2025-10-14,referral,22,13,1,0.0
2025-10-14,organic,51,28,0,0.0
2025-10-15,instagram,100,75,1,215100.0
2025-10-15,telegram,90,55,1,138000.0
2025-10-15,google,52,34,1,57400.0
2025-10-15,facebook,39,28,1,39600.0
2025-10-15,referral,25,18,2,0.0
2025-10-15,organic,47,36,1,0.0
2025-10-16,instagram,114,89,0,214400.0
2025-10-16,telegram,89,65,0,143000.0
2025-10-16,google,52,38,1,84700.0
2025-10-16,facebook,28,19,0,31500.0
2025-10-16,referral,21,12,0,0.0
2025-10-16,organic,55,36,1,0.0
2025-10-17,instagram,109,84,1,234900.0
2025-10-17,telegram,94,65,0,114600.0
2025-10-17,google,33,22,0,30000.0
2025-10-17,facebook,52,37,1,47400.0
2025-10-17,referral,25,19,0,0.0
2025-10-17,organic,57,41,1,0.0
2025-10-18,instagram,147,92,0,140800.0
2025-10-18,telegram,57,45,1,99600.0
2025-10-18,google,61,46,0,57600.0
2025-10-18,facebook,40,23,0,74800.0
2025-10-18,referral,23,16,0,0.0
2025-10-18,organic,43,28,1,0.0
2025-10-19,instagram,120,73,2,120900.0
2025-10-19,telegram,120,81,1,227600.0
2025-10-19,google,68,41,0,115400.0
2025-10-19,facebook,18,11,0,25500.0
2025-10-19,referral,13,8,1,0.0
2025-10-19,organic,69,39,0,0.0
2025-10-20,instagram,94,52,1,118000.0
2025-10-20,telegram,78,53,1,71300.0
2025-10-20,google,39,22,0,51600.0
2025-10-20,facebook,39,23,0,56000.0
2025-10-20,referral,25,19,1,0.0
2025-10-20,organic,34,23,0,0.0
2025-10-21,instagram,88,53,2,159100.0
2025-10-21,telegram,77,60,2,107700.0
2025-10-21,google,56,33,2,71300.0
2025-10-21,facebook,59,38,0,89100.0
2025-10-21,referral,20,14,0,0.0
2025-10-21,organic,31,17,0,0.0
2025-10-22,instagram,85,59,1,140200.0
2025-10-22,telegram,57,41,0,113000.0
2025-10-22,google,54,31,0,48800.0
2025-10-22,facebook,36,25,0,49800.0
2025-10-22,referral,40,31,0,0.0
2025-10-22,organic,56,38,0,0.0
2025-10-23,instagram,127,84,1,174700.0
2025-10-23,telegram,83,61,1,117400.0
2025-10-23,google,89,63,0,127000.0
2025-10-23,facebook,36,21,0,31800.0
2025-10-23,referral,25,16,0,0.0
2025-10-23,organic,40,30,0,0.0
2025-10-24,instagram,146,98,2,288300.0
2025-10-24,telegram,49,29,0,74700.0
2025-10-24,google,49,32,0,105800.0
2025-10-24,facebook,56,33,0,54900.0
2025-10-24,referral,24,13,1,0.0
2025-10-24,organic,46,26,0,0.0
2025-10-25,instagram,103,63,3,108300.0
2025-10-25,telegram,82,46,0,83400.0
2025-10-25,google,50,34,0,59700.0
2025-10-25,facebook,36,26,0,78200.0
2025-10-25,referral,19,12,1,0.0
2025-10-25,organic,65,51,1,0.0
2025-10-26,instagram,151,106,0,251400.0
2025-10-26,telegram,68,45,1,74700.0
2025-10-26,google,75,57,0,65900.0
2025-10-26,facebook,68,52,0,83100.0
2025-10-26,referral,35,20,2,0.0
2025-10-26,organic,54,39,1,0.0
2025-10-27,instagram,123,68,2,138700.0
2025-10-27,telegram,48,37,0,66600.0
2025-10-27,google,45,34,0,64400.0
2025-10-27,facebook,43,34,0,35000.0
2025-10-27,referral,31,20,0,0.0
2025-10-27,organic,60,39,1,0.0
2025-10-28,instagram,83,59,2,133000.0
2025-10-28,telegram,79,53,0,108000.0
2025-10-28,google,53,40,0,88200.0
2025-10-28,facebook,27,17,0,24900.0
2025-10-28,referral,29,21,1,0.0
2025-10-28,organic,51,39,0,0.0
2025-10-29,instagram,124,84,2,202400.0
2025-10-29,telegram,56,42,2,95300.0
2025-10-29,google,34,24,0,42400.0
2025-10-29,facebook,29,17,0,50300.0
2025-10-29,referral,30,17,0,0.0
2025-10-29,organic,50,32,0,0.0
2025-10-30,instagram,121,82,2,103800.0
2025-10-30,telegram,100,72,1,145500.0
2025-10-30,google,84,46,0,102800.0
2025-10-30,facebook,36,27,0,57700.0
2025-10-30,referral,21,14,0,0.0
2025-10-30,organic,55,41,0,0.0
2025-10-31,instagram,102,62,0,86100.0
2025-10-31,telegram,90,50,0,107300.0
2025-10-31,google,60,34,0,60400.0
2025-10-31,facebook,35,22,0,68300.0
2025-10-31,referral,24,13,0,0.0
2025-10-31,organic,47,30,0,0.0
2025-11-01,instagram,149,100,1,264700.0
2025-11-01,telegram,106,60,1,93000.0
2025-11-01,google,63,45,0,108400.0
2025-11-01,facebook,48,32,0,43400.0
2025-11-01,referral,21,12,0,0.0
2025-11-01,organic,62,40,0,0.0
2025-11-02,instagram,113,73,1,184500.0
2025-11-02,telegram,67,38,1,88900.0
2025-11-02,google,79,58,0,138900.0
2025-11-02,facebook,34,22,0,38000.0
2025-11-02,referral,26,14,0,0.0
2025-11-02,organic,24,16,0,0.0
2025-11-03,instagram,123,83,1,142900.0
2025-11-03,telegram,85,61,0,164400.0
2025-11-03,google,45,34,0,50800.0
2025-11-03,facebook,38,29,0,46800.0
2025-11-03,referral,19,14,1,0.0
2025-11-03,organic,54,31,1,0.0
2025-11-04,instagram,147,112,0,122500.0
2025-11-04,telegram,101,61,1,140500.0
2025-11-04,google,60,40,0,91500.0
2025-11-04,facebook,60,40,0,105800.0
2025-11-04,referral,16,8,1,0.0
2025-11-04,organic,39,26,0,0.0
2025-11-05,instagram,138,91,1,236000.0
2025-11-05,telegram,106,81,1,168300.0
2025-11-05,google,78,56,0,151400.0
2025-11-05,facebook,22,12,1,45100.0
2025-11-05,referral,26,20,1,0.0
2025-11-05,organic,27,18,0,0.0
2025-11-06,instagram,107,61,1,202900.0
2025-11-06,telegram,101,70,0,135700.0
2025-11-06,google,54,42,0,55100.0
2025-11-06,facebook,46,33,0,90500.0
2025-11-06,referral,24,16,1,0.0
2025-11-06,organic,72,47,1,0.0
2025-11-07,instagram,128,81,0,170700.0
2025-11-07,telegram,118,75,0,161300.0
2025-11-07,google,67,44,0,110500.0
2025-11-07,facebook,31,23,0,32600.0
2025-11-07,referral,18,11,2,0.0
2025-11-07,organic,41,29,1,0.0
2025-11-08,instagram,129,80,1,276000.0
2025-11-08,telegram,97,70,1,187700.0
2025-11-08,google,68,41,0,81800.0
2025-11-08,facebook,45,35,1,88600.0
2025-11-08,referral,23,17,1,0.0
2025-11-08,organic,46,25,1,0.0
2025-11-09,instagram,118,90,0,120900.0
2025-11-09,telegram,105,62,0,145000.0
2025-11-09,google,106,64,0,204400.0
2025-11-09,facebook,31,19,0,65200.0
2025-11-09,referral,19,14,0,0.0
2025-11-09,organic,76,57,1,0.0
2025-11-10,instagram,135,99,0,153700.0
2025-11-10,telegram,100,70,0,148900.0
2025-11-10,google,66,50,0,66400.0
2025-11-10,facebook,31,22,0,27800.0
2025-11-10,referral,23,18,0,0.0
2025-11-10,organic,55,32,1,0.0
2025-11-11,instagram,137,80,1,254600.0
2025-11-11,telegram,102,57,0,137300.0
2025-11-11,google,74,46,0,134200.0
2025-11-11,facebook,40,28,0,64500.0
2025-11-11,referral,23,16,1,0.0
2025-11-11,organic,36,23,1,0.0
2025-11-12,instagram,211,167,0,303400.0
2025-11-12,telegram,125,69,1,254000.0
2025-11-12,google,59,42,0,56800.0
2025-11-12,facebook,41,31,0,44300.0
2025-11-12,referral,33,25,1,0.0
2025-11-12,organic,32,20,0,0.0
2025-11-13,instagram,76,51,1,155400.0
2025-11-13,telegram,40,23,0,62900.0
2025-11-13,google,65,43,0,117000.0
2025-11-13,facebook,38,23,0,48900.0
2025-11-13,referral,25,15,1,0.0
2025-11-13,organic,64,50,1,0.0
2025-11-14,instagram,102,63,1,171400.0
2025-11-14,telegram,88,57,0,74800.0
2025-11-14,google,86,58,1,183200.0
2025-11-14,facebook,24,13,0,29300.0
2025-11-14,referral,27,17,0,0.0
2025-11-14,organic,54,42,1,0.0
2025-11-15,instagram,113,88,1,158200.0
2025-11-15,telegram,64,46,0,97100.0
2025-11-15,google,82,48,0,92900.0
2025-11-15,facebook,44,31,0,95800.0
2025-11-15,referral,21,11,0,0.0
2025-11-15,organic,65,37,1,0.0
2025-11-16,instagram,101,60,2,153100.0
2025-11-16,telegram,100,67,0,85400.0
2025-11-16,google,27,15,2,44400.0
2025-11-16,facebook,27,16,0,38500.0
2025-11-16,referral,27,16,0,0.0
2025-11-16,organic,36,22,1,0.0
2025-11-17,instagram,106,76,0,195000.0
2025-11-17,telegram,110,84,0,164400.0
2025-11-17,google,72,50,1,137500.0
2025-11-17,facebook,27,21,0,45700.0
2025-11-17,referral,22,16,0,0.0
2025-11-17,organic,56,43,1,0.0
2025-11-18,instagram,155,109,1,144800.0
2025-11-18,telegram,103,64,0,137400.0
2025-11-18,google,73,54,0,146300.0
2025-11-18,facebook,43,32,0,88500.0
2025-11-18,referral,35,27,0,0.0
2025-11-18,organic,52,39,0,0.0
2025-11-19,instagram,104,82,1,132400.0
2025-11-19,telegram,127,96,0,228000.0
2025-11-19,google,46,32,0,80800.0
2025-11-19,facebook,47,27,0,49500.0
2025-11-19,referral,30,22,2,0.0
2025-11-19,organic,54,36,1,0.0
2025-11-20,instagram,186,102,1,170500.0
2025-11-20,telegram,68,39,2,129900.0
2025-11-20,google,30,22,1,26100.0
2025-11-20,facebook,48,32,0,80400.0
2025-11-20,referral,19,11,0,0.0
2025-11-20,organic,58,34,0,0.0
2025-11-21,instagram,144,112,1,124700.0
2025-11-21,telegram,120,89,0,243900.0
2025-11-21,google,55,36,0,103200.0
2025-11-21,facebook,28,22,0,55600.0
2025-11-21,referral,25,19,0,0.0
2025-11-21,organic,42,23,1,0.0
2025-11-22,instagram,155,99,2,204400.0
2025-11-22,telegram,105,69,0,158300.0
2025-11-22,google,66,42,0,85000.0
2025-11-22,facebook,49,34,0,88300.0
2025-11-22,referral,22,15,0,0.0
2025-11-22,organic,31,17,1,0.0
2025-11-23,instagram,121,69,0,262200.0
2025-11-23,telegram,94,68,0,113000.0
2025-11-23,google,71,53,1,59300.0
2025-11-23,facebook,39,27,0,39400.0
2025-11-23,referral,24,19,2,0.0
2025-11-23,organic,50,27,1,0.0
2025-11-24,instagram,137,102,1,115100.0
2025-11-24,telegram,69,42,1,150000.0
2025-11-24,google,78,56,0,114600.0
2025-11-24,facebook,47,28,0,93900.0
2025-11-24,referral,20,12,0,0.0
2025-11-24,organic,35,27,0,0.0
2025-11-25,instagram,93,70,2,184100.0
2025-11-25,telegram,77,45,1,101100.0
2025-11-25,google,48,32,1,87900.0
2025-11-25,facebook,48,36,0,45400.0
2025-11-25,referral,17,9,1,0.0
2025-11-25,organic,83,52,1,0.0
2025-11-26,instagram,124,76,0,215600.0
2025-11-26,telegram,70,46,2,84300.0
2025-11-26,google,51,30,0,66700.0
2025-11-26,facebook,37,26,1,75900.0
2025-11-26,referral,25,15,2,0.0
2025-11-26,organic,45,31,1,0.0
2025-11-27,instagram,143,110,2,247500.0
2025-11-27,telegram,105,67,1,221900.0
2025-11-27,google,78,44,0,127400.0
2025-11-27,facebook,15,10,0,13900.0
2025-11-27,referral,26,17,0,0.0
2025-11-27,organic,40,28,0,0.0
2025-11-28,instagram,132,88,0,210300.0
2025-11-28,telegram,99,63,0,161200.0
2025-11-28,google,55,40,0,69300.0
2025-11-28,facebook,32,24,0,45200.0
2025-11-28,referral,25,17,1,0.0
2025-11-28,organic,37,25,0,0.0
2025-11-29,instagram,83,65,0,137700.0
2025-11-29,telegram,80,60,1,170500.0
2025-11-29,google,90,69,0,100900.0
2025-11-29,facebook,46,25,0,79300.0
2025-11-29,referral,20,15,1,0.0
2025-11-29,organic,41,31,0,0.0
2025-11-30,instagram,92,65,0,76500.0
2025-11-30,telegram,95,67,2,98600.0
2025-11-30,google,58,40,0,110400.0
2025-11-30,facebook,50,30,0,97000.0
2025-11-30,referral,18,11,0,0.0
2025-11-30,organic,44,33,1,0.0
2025-12-01,instagram,118,65,1,216200.0
2025-12-01,telegram,84,66,0,98700.0
2025-12-01,google,54,36,1,111300.0
2025-12-01,facebook,33,22,0,72400.0
2025-12-01,referral,17,12,2,0.0
2025-12-01,organic,30,19,1,0.0
2025-12-02,instagram,135,95,0,138800.0
2025-12-02,telegram,90,55,0,140200.0
2025-12-02,google,48,32,0,91000.0
2025-12-02,facebook,49,36,0,83300.0
2025-12-02,referral,27,17,0,0.0
2025-12-02,organic,54,36,0,0.0
2025-12-03,instagram,139,87,0,142500.0
2025-12-03,telegram,55,43,0,104100.0
2025-12-03,google,67,46,1,91600.0
2025-12-03,facebook,44,31,2,84900.0
2025-12-03,referral,19,15,3,0.0
2025-12-03,organic,40,23,1,0.0
2025-12-04,instagram,177,119,2,220600.0
2025-12-04,telegram,104,62,0,194100.0
2025-12-04,google,84,67,1,159700.0
2025-12-04,facebook,47,36,1,84900.0
2025-12-04,referral,24,18,0,0.0
2025-12-04,organic,59,33,1,0.0
2025-12-05,instagram,172,99,1,295400.0
2025-12-05,telegram,34,24,0,37200.0
2025-12-05,google,60,38,0,60200.0
2025-12-05,facebook,49,36,0,84300.0
2025-12-05,referral,34,22,0,0.0
2025-12-05,organic,60,42,1,0.0
2025-12-06,instagram,115,82,1,152900.0
2025-12-06,telegram,78,52,0,94000.0
2025-12-06,google,88,49,0,175500.0
2025-12-06,facebook,52,28,1,51300.0
2025-12-06,referral,21,14,0,0.0
2025-12-06,organic,55,42,0,0.0
2025-12-07,instagram,164,112,1,280500.0
2025-12-07,telegram,49,32,3,104500.0
2025-12-07,google,79,60,0,72400.0
2025-12-07,facebook,51,30,0,105900.0
2025-12-07,referral,14,10,0,0.0
2025-12-07,organic,36,21,0,0.0
2025-12-08,instagram,107,65,1,208000.0
2025-12-08,telegram,92,73,0,160800.0
2025-12-08,google,66,46,0,62900.0
2025-12-08,facebook,42,32,0,34800.0
2025-12-08,referral,26,18,0,0.0
2025-12-08,organic,65,40,0,0.0
2025-12-09,instagram,193,122,0,280200.0
2025-12-09,telegram,90,58,0,147500.0
2025-12-09,google,84,51,0,78000.0
2025-12-09,facebook,22,15,1,47300.0
2025-12-09,referral,36,25,0,0.0
2025-12-09,organic,65,43,1,0.0
2025-12-10,instagram,79,59,1,172600.0
2025-12-10,telegram,61,48,1,50400.0
2025-12-10,google,65,39,0,108000.0
2025-12-10,facebook,35,26,1,70500.0
2025-12-10,referral,33,22,0,0.0
2025-12-10,organic,61,41,0,0.0
2025-12-11,instagram,132,99,1,191400.0
2025-12-11,telegram,109,83,4,132900.0
2025-12-11,google,92,70,0,196100.0
2025-12-11,facebook,40,28,0,56400.0
2025-12-11,referral,24,14,1,0.0
2025-12-11,organic,60,38,1,0.0
2025-12-12,instagram,107,58,1,200500.0
2025-12-12,telegram,97,59,1,109600.0
2025-12-12,google,79,53,0,153100.0
2025-12-12,facebook,45,26,0,47600.0
2025-12-12,referral,19,11,1,0.0
2025-12-12,organic,39,21,1,0.0
2025-12-13,instagram,107,78,0,137700.0
2025-12-13,telegram,85,63,1,79800.0
2025-12-13,google,47,35,0,53700.0
2025-12-13,facebook,43,30,0,74900.0
2025-12-13,referral,33,21,2,0.0
2025-12-13,organic,44,29,1,0.0
2025-12-14,instagram,129,81,1,189500.0
2025-12-14,telegram,85,59,0,143100.0
2025-12-14,google,45,31,1,82300.0
2025-12-14,facebook,58,42,0,87700.0
2025-12-14,referral,36,28,0,0.0
2025-12-14,organic,39,30,0,0.0
2025-12-15,instagram,122,89,1,178300.0
2025-12-15,telegram,57,42,0,47400.0
2025-12-15,google,71,40,0,82100.0
2025-12-15,facebook,63,46,0,128800.0
2025-12-15,referral,39,28,0,0.0
2025-12-15,organic,42,28,1,0.0
2025-12-16,instagram,69,51,2,129600.0
2025-12-16,telegram,80,54,1,136700.0
2025-12-16,google,42,28,0,44500.0
2025-12-16,facebook,25,16,0,27100.0
2025-12-16,referral,18,10,0,0.0
2025-12-16,organic,60,45,1,0.0
2025-12-17,instagram,145,108,2,118300.0
2025-12-17,telegram,78,43,0,62800.0
2025-12-17,google,55,37,0,51000.0
2025-12-17,facebook,51,34,0,58300.0
2025-12-17,referral,31,20,0,0.0
2025-12-17,organic,40,27,1,0.0
2025-12-18,instagram,97,75,2,125700.0
2025-12-18,telegram,92,70,1,155700.0
2025-12-18,google,72,53,0,109300.0
2025-12-18,facebook,41,26,0,40100.0
2025-12-18,referral,28,17,1,0.0
2025-12-18,organic,48,34,1,0.0
2025-12-19,instagram,105,59,1,152700.0
2025-12-19,telegram,91,62,0,88000.0
2025-12-19,google,31,22,1,38400.0
2025-12-19,facebook,46,28,0,60600.0
2025-12-19,referral,28,15,0,0.0
2025-12-19,organic,49,38,0,0.0
2025-12-20,instagram,132,87,0,226200.0
2025-12-20,telegram,106,74,0,224400.0
2025-12-20,google,59,39,0,126800.0
2025-12-20,facebook,42,33,0,89400.0
