attendance_id,student_id,group_id,date,status
A000127,S0214,G001,2026-06-01,present
A000128,S0008,G001,2026-06-03,late
A000129,S0019,G001,2026-06-03,present
A000130,S0106,G001,2026-06-03,present
A000131,S0114,G001,2026-06-03,present
A000132,S0214,G001,2026-06-03,present
A000133,S0008,G001,2026-06-05,present
A000134,S0019,G001,2026-06-05,present
A000135,S0106,G001,2026-06-05,present
A000136,S0114,G001,2026-06-05,present
A000137,S0214,G001,2026-06-05,present
A000138,S0008,G001,2026-06-09,present
A000139,S0019,G001,2026-06-09,present
A000140,S0041,G001,2026-06-09,present
A000141,S0106,G001,2026-06-09,present
A000142,S0114,G001,2026-06-09,present
A000143,S0214,G001,2026-06-09,present
A000144,S0008,G001,2026-06-11,present
A000145,S0019,G001,2026-06-11,present
A000146,S0041,G001,2026-06-11,present
A000147,S0106,G001,2026-06-11,present
A000148,S0114,G001,2026-06-11,present
A000149,S0214,G001,2026-06-11,present
A000150,S0008,G001,2026-06-13,present
A000151,S0019,G001,2026-06-13,present
A000152,S0041,G001,2026-06-13,present
A000153,S0106,G001,2026-06-13,present
A000154,S0114,G001,2026-06-13,present
A000155,S0202,G001,2026-06-13,present
A000156,S0214,G001,2026-06-13,present
A000157,S0008,G001,2026-06-15,present
A000158,S0019,G001,2026-06-15,absent
A000159,S0041,G001,2026-06-15,present
A000160,S0106,G001,2026-06-15,present
A000161,S0114,G001,2026-06-15,late
A000162,S0202,G001,2026-06-15,present
A000163,S0214,G001,2026-06-15,present
A000164,S0008,G001,2026-06-17,present
A000165,S0019,G001,2026-06-17,present
A000166,S0041,G001,2026-06-17,excused
A000167,S0106,G001,2026-06-17,present
A000168,S0114,G001,2026-06-17,late
A000169,S0202,G001,2026-06-17,absent
A000170,S0214,G001,2026-06-17,absent
A000171,S0008,G001,2026-06-19,present
A000172,S0019,G001,2026-06-19,present
A000173,S0041,G001,2026-06-19,present
A000174,S0106,G001,2026-06-19,present
A000175,S0114,G001,2026-06-19,absent
A000176,S0155,G001,2026-06-19,present
A000177,S0202,G001,2026-06-19,present
A000178,S0214,G001,2026-06-19,excused
A000179,S0008,G001,2026-06-23,present
A000180,S0019,G001,2026-06-23,absent
A000181,S0041,G001,2026-06-23,present
A000182,S0106,G001,2026-06-23,present
A000183,S0114,G001,2026-06-23,present
A000184,S0155,G001,2026-06-23,present
A000185,S0202,G001,2026-06-23,absent
A000186,S0214,G001,2026-06-23,present
A000187,S0008,G001,2026-06-25,present
A000188,S0019,G001,2026-06-25,absent
A000189,S0041,G001,2026-06-25,present
A000190,S0106,G001,2026-06-25,present
A000191,S0114,G001,2026-06-25,present
A000192,S0155,G001,2026-06-25,late
A000193,S0202,G001,2026-06-25,late
A000194,S0214,G001,2026-06-25,present
A000195,S0008,G001,2026-06-27,present
A000196,S0019,G001,2026-06-27,excused
A000197,S0041,G001,2026-06-27,late
A000198,S0106,G001,2026-06-27,present
A000199,S0114,G001,2026-06-27,present
A000200,S0155,G001,2026-06-27,present
A000201,S0202,G001,2026-06-27,present
A000202,S0214,G001,2026-06-27,present
A000203,S0008,G001,2026-06-29,present
A000204,S0019,G001,2026-06-29,present
A000205,S0041,G001,2026-06-29,absent
A000206,S0106,G001,2026-06-29,present
A000207,S0114,G001,2026-06-29,absent
A000208,S0155,G001,2026-06-29,present
A000209,S0202,G001,2026-06-29,excused
A000210,S0214,G001,2026-06-29,present
A000211,S0008,G001,2026-07-01,present
A000212,S0019,G001,2026-07-01,present
A000213,S0041,G001,2026-07-01,present
A000214,S0106,G001,2026-07-01,present
A000215,S0114,G001,2026-07-01,present
A000216,S0155,G001,2026-07-01,present
A000217,S0202,G001,2026-07-01,absent
A000218,S0214,G001,2026-07-01,present
A000219,S0008,G001,2026-07-03,present
A000220,S0019,G001,2026-07-03,present
A000221,S0041,G001,2026-07-03,present
A000222,S0106,G001,2026-07-03,present
A000223,S0114,G001,2026-07-03,present
A000224,S0155,G001,2026-07-03,present
A000225,S0202,G001,2026-07-03,present
A000226,S0214,G001,2026-07-03,present
A000227,S0008,G001,2026-07-07,present
A000228,S0019,G001,2026-07-07,present
A000229,S0041,G001,2026-07-07,present
A000230,S0106,G001,2026-07-07,late
A000231,S0114,G001,2026-07-07,present
A000232,S0155,G001,2026-07-07,late
A000233,S0202,G001,2026-07-07,present
A000234,S0214,G001,2026-07-07,excused
A000235,S0008,G001,2026-07-09,present
A000236,S0019,G001,2026-07-09,present
A000237,S0041,G001,2026-07-09,present
A000238,S0106,G001,2026-07-09,late
A000239,S0114,G001,2026-07-09,present
A000240,S0155,G001,2026-07-09,present
A000241,S0202,G001,2026-07-09,present
A000242,S0214,G001,2026-07-09,present
A000243,S0008,G001,2026-07-11,present
A000244,S0019,G001,2026-07-11,present
A000245,S0041,G001,2026-07-11,present
A000246,S0106,G001,2026-07-11,present
A000247,S0114,G001,2026-07-11,present
A000248,S0155,G001,2026-07-11,present
A000249,S0202,G001,2026-07-11,present
A000250,S0214,G001,2026-07-11,present
A000251,S0292,G001,2026-07-11,present
A000252,S0008,G001,2026-07-13,present
A000253,S0019,G001,2026-07-13,present
A000254,S0041,G001,2026-07-13,late
A000255,S0106,G001,2026-07-13,present
A000256,S0114,G001,2026-07-13,present
A000257,S0155,G001,2026-07-13,absent
A000258,S0202,G001,2026-07-13,absent
A000259,S0214,G001,2026-07-13,present
A000260,S0292,G001,2026-07-13,present
A000261,S0008,G001,2026-07-15,present
A000262,S0019,G001,2026-07-15,present
A000263,S0041,G001,2026-07-15,present
A000264,S0106,G001,2026-07-15,present
A000265,S0114,G001,2026-07-15,present
A000266,S0155,G001,2026-07-15,present
A000267,S0202,G001,2026-07-15,present
A000268,S0214,G001,2026-07-15,present
A000269,S0292,G001,2026-07-15,present
A000270,S0008,G001,2026-07-17,present
A000271,S0019,G001,2026-07-17,present
A000272,S0041,G001,2026-07-17,absent
A000273,S0106,G001,2026-07-17,present
A000274,S0114,G001,2026-07-17,late
A000275,S0155,G001,2026-07-17,excused
A000276,S0202,G001,2026-07-17,present
A000277,S0214,G001,2026-07-17,absent
A000278,S0292,G001,2026-07-17,present
A000279,S0008,G001,2026-07-21,present
A000280,S0019,G001,2026-07-21,present
A000281,S0041,G001,2026-07-21,present
A000282,S0106,G001,2026-07-21,present
A000283,S0114,G001,2026-07-21,late
A000284,S0155,G001,2026-07-21,present
A000285,S0183,G001,2026-07-21,present
A000286,S0202,G001,2026-07-21,excused
A000287,S0214,G001,2026-07-21,absent
A000288,S0292,G001,2026-07-21,present
A000289,S0008,G001,2026-07-23,present
A000290,S0019,G001,2026-07-23,present
A000291,S0041,G001,2026-07-23,present
A000292,S0106,G001,2026-07-23,present
A000293,S0114,G001,2026-07-23,present
A000294,S0155,G001,2026-07-23,late
A000295,S0183,G001,2026-07-23,present
A000296,S0202,G001,2026-07-23,present
A000297,S0214,G001,2026-07-23,present
A000298,S0292,G001,2026-07-23,present
A000299,S0008,G001,2026-07-25,late
A000300,S0019,G001,2026-07-25,present
A000301,S0041,G001,2026-07-25,present
A000302,S0106,G001,2026-07-25,present
A000303,S0114,G001,2026-07-25,absent
A000304,S0155,G001,2026-07-25,present
A000305,S0183,G001,2026-07-25,present
A000306,S0202,G001,2026-07-25,present
A000307,S0214,G001,2026-07-25,present
A000308,S0261,G001,2026-07-25,late
A000309,S0292,G001,2026-07-25,present
A000310,S0008,G001,2026-07-27,present
A000311,S0019,G001,2026-07-27,late
A000312,S0041,G001,2026-07-27,present
A000313,S0106,G001,2026-07-27,present
A000314,S0114,G001,2026-07-27,present
A000315,S0155,G001,2026-07-27,excused
A000316,S0183,G001,2026-07-27,excused
A000317,S0202,G001,2026-07-27,present
A000318,S0214,G001,2026-07-27,present
A000319,S0261,G001,2026-07-27,present
A000320,S0292,G001,2026-07-27,present
A000321,S0008,G001,2026-07-29,present
A000322,S0019,G001,2026-07-29,late
A000323,S0041,G001,2026-07-29,present
A000324,S0106,G001,2026-07-29,present
A000325,S0114,G001,2026-07-29,present
A000326,S0155,G001,2026-07-29,present
A000327,S0183,G001,2026-07-29,present
A000328,S0202,G001,2026-07-29,present
A000329,S0214,G001,2026-07-29,present
A000330,S0261,G001,2026-07-29,excused
A000331,S0292,G001,2026-07-29,present
A000332,S0008,G001,2026-07-31,present
A000333,S0019,G001,2026-07-31,present
A000334,S0041,G001,2026-07-31,present
A000335,S0106,G001,2026-07-31,absent
A000336,S0114,G001,2026-07-31,present
A000337,S0155,G001,2026-07-31,present
A000338,S0183,G001,2026-07-31,present
A000339,S0202,G001,2026-07-31,absent
A000340,S0214,G001,2026-07-31,absent
A000341,S0261,G001,2026-07-31,present
A000342,S0292,G001,2026-07-31,present
A000343,S0008,G001,2026-08-04,absent
A000344,S0019,G001,2026-08-04,late
A000345,S0041,G001,2026-08-04,excused
A000346,S0106,G001,2026-08-04,present
A000347,S0114,G001,2026-08-04,present
A000348,S0155,G001,2026-08-04,present
A000349,S0183,G001,2026-08-04,absent
A000350,S0202,G001,2026-08-04,late
A000351,S0214,G001,2026-08-04,present
A000352,S0261,G001,2026-08-04,present
A000353,S0292,G001,2026-08-04,present
A000354,S0008,G001,2026-08-06,present
A000355,S0019,G001,2026-08-06,present
A000356,S0041,G001,2026-08-06,present
A000357,S0106,G001,2026-08-06,present
A000358,S0114,G001,2026-08-06,present
A000359,S0155,G001,2026-08-06,present
A000360,S0183,G001,2026-08-06,present
A000361,S0202,G001,2026-08-06,absent
A000362,S0214,G001,2026-08-06,present
A000363,S0261,G001,2026-08-06,present
A000364,S0292,G001,2026-08-06,present
A000365,S0008,G001,2026-08-08,present
A000366,S0019,G001,2026-08-08,present
A000367,S0041,G001,2026-08-08,present
A000368,S0106,G001,2026-08-08,excused
A000369,S0114,G001,2026-08-08,present
A000370,S0155,G001,2026-08-08,present
A000371,S0183,G001,2026-08-08,late
A000372,S0202,G001,2026-08-08,absent
A000373,S0214,G001,2026-08-08,present
A000374,S0261,G001,2026-08-08,absent
A000375,S0292,G001,2026-08-08,present
A000376,S0008,G001,2026-08-10,absent
A000377,S0019,G001,2026-08-10,present
A000378,S0041,G001,2026-08-10,present
A000379,S0106,G001,2026-08-10,late
A000380,S0114,G001,2026-08-10,absent
A000381,S0155,G001,2026-08-10,present
A000382,S0183,G001,2026-08-10,present
A000383,S0202,G001,2026-08-10,absent
A000384,S0214,G001,2026-08-10,present
A000385,S0261,G001,2026-08-10,present
A000386,S0292,G001,2026-08-10,present
A000387,S0008,G001,2026-08-12,excused
A000388,S0019,G001,2026-08-12,present
A000389,S0041,G001,2026-08-12,present
A000390,S0106,G001,2026-08-12,present
A000391,S0114,G001,2026-08-12,present
A000392,S0155,G001,2026-08-12,present
A000393,S0183,G001,2026-08-12,present
A000394,S0202,G001,2026-08-12,present
A000395,S0214,G001,2026-08-12,late
A000396,S0261,G001,2026-08-12,present
A000397,S0292,G001,2026-08-12,present
A000398,S0008,G001,2026-08-14,present
A000399,S0019,G001,2026-08-14,late
A000400,S0041,G001,2026-08-14,present
A000401,S0106,G001,2026-08-14,present
A000402,S0114,G001,2026-08-14,present
A000403,S0155,G001,2026-08-14,present
A000404,S0183,G001,2026-08-14,present
A000405,S0202,G001,2026-08-14,present
A000406,S0214,G001,2026-08-14,absent
A000407,S0261,G001,2026-08-14,present
A000408,S0292,G001,2026-08-14,absent
A000409,S0008,G001,2026-08-18,excused
A000410,S0019,G001,2026-08-18,present
A000411,S0041,G001,2026-08-18,present
A000412,S0106,G001,2026-08-18,present
A000413,S0114,G001,2026-08-18,present
A000414,S0155,G001,2026-08-18,present
A000415,S0183,G001,2026-08-18,present
A000416,S0202,G001,2026-08-18,present
A000417,S0214,G001,2026-08-18,late
A000418,S0261,G001,2026-08-18,absent
A000419,S0292,G001,2026-08-18,present
A000420,S0008,G001,2026-08-20,present
A000421,S0019,G001,2026-08-20,present
A000422,S0041,G001,2026-08-20,absent
A000423,S0106,G001,2026-08-20,present
A000424,S0114,G001,2026-08-20,present
A000425,S0155,G001,2026-08-20,present
A000426,S0183,G001,2026-08-20,absent
A000427,S0202,G001,2026-08-20,absent
A000428,S0214,G001,2026-08-20,excused
A000429,S0261,G001,2026-08-20,present
A000430,S0292,G001,2026-08-20,present
A000431,S0216,G002,2025-10-01,present
A000432,S0216,G002,2025-10-03,present
A000433,S0216,G002,2025-10-07,present
A000434,S0216,G002,2025-10-09,present
A000435,S0216,G002,2025-10-11,present
A000436,S0216,G002,2025-10-13,present
A000437,S0216,G002,2025-10-15,absent
A000438,S0216,G002,2025-10-17,present
A000439,S0216,G002,2025-10-21,present
A000440,S0216,G002,2025-10-23,present
A000441,S0216,G002,2025-10-25,present
A000442,S0216,G002,2025-10-27,present
A000443,S0216,G002,2025-10-29,present
A000444,S0216,G002,2025-10-31,present
A000445,S0216,G002,2025-11-04,present
A000446,S0216,G002,2025-11-06,present
A000447,S0216,G002,2025-11-08,late
A000448,S0216,G002,2025-11-10,absent
A000449,S0216,G002,2025-11-12,present
A000450,S0216,G002,2025-11-14,present
A000451,S0216,G002,2025-11-18,present
A000452,S0216,G002,2025-11-20,present
A000453,S0216,G002,2025-11-22,present
A000454,S0216,G002,2025-11-24,present
A000455,S0216,G002,2025-11-26,late
A000456,S0216,G002,2025-11-28,present
A000457,S0216,G002,2025-12-02,present
A000458,S0216,G002,2025-12-04,present
A000459,S0216,G002,2025-12-06,present
A000460,S0216,G002,2025-12-08,absent
A000461,S0216,G002,2025-12-10,present
A000462,S0216,G002,2025-12-12,present
A000463,S0216,G002,2025-12-16,present
A000464,S0216,G002,2025-12-18,present
A000465,S0216,G002,2025-12-20,present
A000466,S0048,G002,2025-12-22,present
A000467,S0216,G002,2025-12-22,present
A000468,S0048,G002,2025-12-24,present
A000469,S0216,G002,2025-12-24,present
A000470,S0048,G002,2025-12-26,present
A000471,S0216,G002,2025-12-26,present
A000472,S0048,G002,2025-12-30,present
A000473,S0216,G002,2025-12-30,present
A000474,S0048,G002,2026-01-01,present
A000475,S0081,G002,2026-01-01,late
A000476,S0216,G002,2026-01-01,late
A000477,S0048,G002,2026-01-03,absent
A000478,S0081,G002,2026-01-03,present
A000479,S0216,G002,2026-01-03,present
A000480,S0048,G002,2026-01-05,present
A000481,S0081,G002,2026-01-05,late
A000482,S0216,G002,2026-01-05,late
A000483,S0048,G002,2026-01-07,present
A000484,S0081,G002,2026-01-07,present
A000485,S0216,G002,2026-01-07,present
A000486,S0048,G002,2026-01-09,present
A000487,S0081,G002,2026-01-09,present
A000488,S0216,G002,2026-01-09,present
A000489,S0240,G002,2026-01-09,present
A000490,S0048,G002,2026-01-13,absent
A000491,S0081,G002,2026-01-13,absent
A000492,S0216,G002,2026-01-13,absent
A000493,S0240,G002,2026-01-13,present
A000494,S0048,G002,2026-01-15,present
A000495,S0081,G002,2026-01-15,present
A000496,S0216,G002,2026-01-15,present
A000497,S0240,G002,2026-01-15,excused
A000498,S0048,G002,2026-01-17,present
A000499,S0081,G002,2026-01-17,present
A000500,S0216,G002,2026-01-17,present
A000501,S0240,G002,2026-01-17,present
A000502,S0048,G002,2026-01-19,present
A000503,S0081,G002,2026-01-19,present
A000504,S0216,G002,2026-01-19,present
A000505,S0240,G002,2026-01-19,present
A000506,S0048,G002,2026-01-21,present
A000507,S0081,G002,2026-01-21,present
A000508,S0216,G002,2026-01-21,absent
A000509,S0240,G002,2026-01-21,present
A000510,S0048,G002,2026-01-23,present
A000511,S0081,G002,2026-01-23,present
A000512,S0216,G002,2026-01-23,present
A000513,S0240,G002,2026-01-23,present
A000514,S0048,G002,2026-01-27,present
A000515,S0081,G002,2026-01-27,late
A000516,S0216,G002,2026-01-27,present
A000517,S0240,G002,2026-01-27,present
A000518,S0048,G002,2026-01-29,absent
A000519,S0081,G002,2026-01-29,present
A000520,S0216,G002,2026-01-29,present
A000521,S0240,G002,2026-01-29,present
A000522,S0047,G002,2026-01-31,present
A000523,S0048,G002,2026-01-31,present
A000524,S0081,G002,2026-01-31,excused
A000525,S0216,G002,2026-01-31,present
A000526,S0240,G002,2026-01-31,present
A000527,S0047,G002,2026-02-02,late
A000528,S0048,G002,2026-02-02,present
A000529,S0081,G002,2026-02-02,present
A000530,S0216,G002,2026-02-02,excused
A000531,S0240,G002,2026-02-02,present
A000532,S0047,G002,2026-02-04,present
A000533,S0048,G002,2026-02-04,present
A000534,S0081,G002,2026-02-04,present
A000535,S0216,G002,2026-02-04,late
A000536,S0240,G002,2026-02-04,present
A000537,S0047,G002,2026-02-06,absent
A000538,S0048,G002,2026-02-06,present
A000539,S0081,G002,2026-02-06,present
A000540,S0216,G002,2026-02-06,late
A000541,S0240,G002,2026-02-06,late
A000542,S0047,G002,2026-02-10,absent
A000543,S0048,G002,2026-02-10,present
A000544,S0081,G002,2026-02-10,present
A000545,S0216,G002,2026-02-10,present
A000546,S0240,G002,2026-02-10,present
A000547,S0047,G002,2026-02-12,late
A000548,S0048,G002,2026-02-12,excused
A000549,S0081,G002,2026-02-12,present
A000550,S0085,G002,2026-02-12,present
A000551,S0216,G002,2026-02-12,late
A000552,S0240,G002,2026-02-12,present
A000553,S0047,G002,2026-02-14,present
A000554,S0048,G002,2026-02-14,present
A000555,S0081,G002,2026-02-14,present
A000556,S0085,G002,2026-02-14,late
A000557,S0216,G002,2026-02-14,present
A000558,S0240,G002,2026-02-14,present
A000559,S0047,G002,2026-02-16,absent
A000560,S0048,G002,2026-02-16,absent
A000561,S0081,G002,2026-02-16,late
A000562,S0085,G002,2026-02-16,absent
A000563,S0216,G002,2026-02-16,present
A000564,S0240,G002,2026-02-16,late
A000565,S0047,G002,2026-02-18,present
A000566,S0048,G002,2026-02-18,present
A000567,S0081,G002,2026-02-18,present
A000568,S0085,G002,2026-02-18,present
A000569,S0216,G002,2026-02-18,present
A000570,S0240,G002,2026-02-18,late
A000571,S0047,G002,2026-02-20,present
A000572,S0048,G002,2026-02-20,present
A000573,S0081,G002,2026-02-20,excused
A000574,S0085,G002,2026-02-20,absent
A000575,S0216,G002,2026-02-20,present
A000576,S0240,G002,2026-02-20,present
A000577,S0047,G002,2026-02-24,present
A000578,S0048,G002,2026-02-24,present
A000579,S0081,G002,2026-02-24,absent
A000580,S0085,G002,2026-02-24,late
A000581,S0216,G002,2026-02-24,present
A000582,S0240,G002,2026-02-24,present
A000583,S0047,G002,2026-02-26,present
A000584,S0048,G002,2026-02-26,present
A000585,S0081,G002,2026-02-26,present
A000586,S0085,G002,2026-02-26,present
A000587,S0216,G002,2026-02-26,present
A000588,S0240,G002,2026-02-26,present
A000589,S0047,G002,2026-02-28,present
A000590,S0048,G002,2026-02-28,present
A000591,S0081,G002,2026-02-28,present
A000592,S0085,G002,2026-02-28,present
A000593,S0216,G002,2026-02-28,present
A000594,S0240,G002,2026-02-28,present
A000595,S0047,G002,2026-03-02,late
A000596,S0048,G002,2026-03-02,present
A000597,S0081,G002,2026-03-02,absent
A000598,S0085,G002,2026-03-02,present
A000599,S0216,G002,2026-03-02,present
A000600,S0240,G002,2026-03-02,present
A000601,S0047,G002,2026-03-04,present
A000602,S0048,G002,2026-03-04,present
A000603,S0081,G002,2026-03-04,present
A000604,S0085,G002,2026-03-04,present
A000605,S0216,G002,2026-03-04,late
A000606,S0240,G002,2026-03-04,present
A000607,S0047,G002,2026-03-06,present
A000608,S0048,G002,2026-03-06,present
A000609,S0081,G002,2026-03-06,present
A000610,S0085,G002,2026-03-06,present
A000611,S0111,G002,2026-03-06,present
A000612,S0216,G002,2026-03-06,present
A000613,S0240,G002,2026-03-06,present
A000614,S0047,G002,2026-03-10,present
A000615,S0048,G002,2026-03-10,excused
A000616,S0081,G002,2026-03-10,present
A000617,S0085,G002,2026-03-10,present
A000618,S0111,G002,2026-03-10,present
A000619,S0216,G002,2026-03-10,present
A000620,S0240,G002,2026-03-10,present
A000621,S0047,G002,2026-03-12,present
A000622,S0048,G002,2026-03-12,present
A000623,S0081,G002,2026-03-12,present
A000624,S0085,G002,2026-03-12,absent
A000625,S0111,G002,2026-03-12,present
A000626,S0216,G002,2026-03-12,present
A000627,S0240,G002,2026-03-12,present
A000628,S0047,G002,2026-03-14,present
A000629,S0048,G002,2026-03-14,excused
A000630,S0081,G002,2026-03-14,present
A000631,S0085,G002,2026-03-14,present
A000632,S0111,G002,2026-03-14,present
A000633,S0216,G002,2026-03-14,present
A000634,S0240,G002,2026-03-14,present
A000635,S0047,G002,2026-03-16,present
A000636,S0048,G002,2026-03-16,present
A000637,S0081,G002,2026-03-16,present
A000638,S0085,G002,2026-03-16,present
A000639,S0111,G002,2026-03-16,present
A000640,S0216,G002,2026-03-16,absent
A000641,S0240,G002,2026-03-16,present
A000642,S0047,G002,2026-03-18,present
A000643,S0048,G002,2026-03-18,present
A000644,S0081,G002,2026-03-18,present
A000645,S0085,G002,2026-03-18,present
A000646,S0111,G002,2026-03-18,late
A000647,S0216,G002,2026-03-18,absent
A000648,S0240,G002,2026-03-18,present
A000649,S0047,G002,2026-03-20,absent
A000650,S0048,G002,2026-03-20,present
A000651,S0081,G002,2026-03-20,present
A000652,S0085,G002,2026-03-20,excused
A000653,S0111,G002,2026-03-20,present
A000654,S0216,G002,2026-03-20,present
A000655,S0240,G002,2026-03-20,absent
A000656,S0047,G002,2026-03-24,present
A000657,S0048,G002,2026-03-24,present
A000658,S0081,G002,2026-03-24,late
A000659,S0085,G002,2026-03-24,absent
A000660,S0111,G002,2026-03-24,present
A000661,S0216,G002,2026-03-24,present
A000662,S0240,G002,2026-03-24,late
A000663,S0047,G002,2026-03-26,present
A000664,S0048,G002,2026-03-26,late
A000665,S0081,G002,2026-03-26,present
A000666,S0085,G002,2026-03-26,present
A000667,S0111,G002,2026-03-26,present
A000668,S0216,G002,2026-03-26,present
A000669,S0240,G002,2026-03-26,present
A000670,S0047,G002,2026-03-28,present
A000671,S0048,G002,2026-03-28,late
A000672,S0081,G002,2026-03-28,present
A000673,S0085,G002,2026-03-28,present
A000674,S0111,G002,2026-03-28,present
A000675,S0216,G002,2026-03-28,present
A000676,S0240,G002,2026-03-28,present
A000677,S0047,G002,2026-03-30,absent
A000678,S0048,G002,2026-03-30,present
A000679,S0081,G002,2026-03-30,present
A000680,S0085,G002,2026-03-30,present
A000681,S0111,G002,2026-03-30,present
A000682,S0216,G002,2026-03-30,present
A000683,S0240,G002,2026-03-30,present
A000684,S0023,G003,2026-07-03,present
A000685,S0023,G003,2026-07-07,absent
A000686,S0031,G003,2026-07-07,present
A000687,S0023,G003,2026-07-09,present
A000688,S0031,G003,2026-07-09,present
A000689,S0023,G003,2026-07-11,present
A000690,S0031,G003,2026-07-11,late
A000691,S0279,G003,2026-07-11,present
A000692,S0023,G003,2026-07-13,present
A000693,S0031,G003,2026-07-13,present
